area,latitude,longitude
77th Street,33.9707,-118.2786
Central,34.0430,-118.2478
Devonshire,34.2566,-118.5235
Foothill,34.2726,-118.4013
Harbor,33.7324,-118.2922
Hollenbeck,34.0470,-118.2110
Hollywood,34.0967,-118.3302
Mission,34.2726,-118.4670
North Hollywood,34.1710,-118.3800
Newton,34.0126,-118.2560
Northeast,34.1080,-118.2360
Olympic,34.0480,-118.2910
Pacific,33.9850,-118.4210
Rampart,34.0570,-118.2660
Southeast,33.9380,-118.2760
Southwest,34.0100,-118.3040
Topanga,34.2190,-118.5960
Van Nuys,34.1830,-118.4480
West LA,34.0460,-118.4450
West Valley,34.1930,-118.5440
Wilshire,34.0460,-118.3400
